meter,mode,nps,length,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,left,right,all,stream_percentage,max_stream_length,jack_percentage,crossover_percentage
5,dance-double,1.8543090496158567,4.75112162947232,10.407001943699106,10.518457375625621,11.21761693357246,6.201219774064659,5.690445075268477,14.486939207055672,13.936691468595441,10.170589983687986,1.82791504003049,1.84266719445953,1.1138421388492978,0.0,0,0.0,21.69811320754717
12,dance-single,4.438546219256185,4.541356735256763,1.3345999155755537,1.3927006293590127,2.0262016425435974,1.5113458824685162,,,,,0.6889372027040486,0.8510343021550056,0.358545905018072,42.90220820189275,4,0.0,56.15141955835961
8,dance-double,3.53423237508913,4.751501805048891,5.711515603438844,5.209480607230483,5.926280971718327,2.728914265520494,2.787539994532697,6.524987184691978,6.407191492705505,7.649948282225074,0.8230276259697388,0.897238537272219,0.4507768384809113,0.8032128514056224,2,0.0,28.514056224899598
13,dance-single,5.320839453674858,4.863055202818245,1.4906193593966635,1.1911113249443184,1.6075618268261243,1.6445015863242698,,,,,0.6317272058578373,0.755957992594986,0.31602620136817816,81.7258883248731,66,0.0,55.83756345177665
3,dance-single,1.768305525675064,4.589040804058207,6.65493231133405,6.8670035066700015,6.402640633304429,6.7768006496201965,,,,,3.593984561677787,3.5711793180200875,1.739678232800855,0.0,0,0.0,47.76119402985074
15,dance-single,6.610276828772069,4.72979200598267,1.117869332077431,1.1196499339848356,1.1217317194569918,1.0974995674527452,,,,,0.5390738561016513,0.5597115037571994,0.2745574378860782,94.36008676789588,37,0.0,59.436008676789584
3,dance-single,1.4413093223673967,4.653960350157523,8.830248949689247,4.205812757492651,4.643532894248462,7.748149922205546,,,,,2.7959358415981037,2.700159869038725,1.0992253155421479,0.0,0,0.0,54.736842105263165
12,dance-single,5.500407587994648,4.692264892839025,1.4599795803996352,1.5863119016859821,1.6915752106366229,1.6817157551948272,,,,,0.744747441145674,0.8268512673637163,0.38639280682016447,69.4078947368421,15,0.0,43.09210526315789
2,dance-single,1.5889893497702388,4.76586795818513,6.641853967113914,8.524081559257764,10.64777261347998,7.555024591975688,,,,,4.029954730208416,4.615125367904142,2.0385076056693596,0.0,0,0.0,47.05882352941176
12,dance-single,5.494171441105406,4.709530201312334,1.4079633427356766,1.1522435096344679,1.481801133295807,1.42895059102181,,,,,0.6363419919061476,0.73241010254887,0.30321784601639634,82.05128205128204,39,0.0,62.10826210826211
3,dance-single,1.638633847073123,4.839870697626954,4.711821171997312,10.442812023385866,9.365339544493747,4.772972177456982,,,,,3.358997635946784,3.342025968749597,1.4659000865560894,0.0,0,0.0,57.291666666666664
6,dance-double,2.0892778798582947,4.760343200196283,18.097058690947907,21.25708007677189,5.608537812767291,6.196433379954193,5.32853039908698,7.9252648337098925,11.58485336363165,20.918157723557112,1.7497177259905594,1.8862501804531397,0.9345056324793941,0.0,0,0.0,29.230769230769234
6,dance-double,2.3026166753785757,4.669224214778197,17.2752681735701,16.948444451520857,8.26573909018989,3.4628500922742274,3.674489942891314,6.5175316563388215,11.98007707094786,26.018454284412204,1.3872553414390063,1.525309529284079,0.7975450380332817,0.0,0,0.0,37.5886524822695
10,dance-double,4.432394586381009,4.704753043074588,7.980340219739603,3.8395919806581613,3.503515177811844,1.6782820058899082,1.979758322838275,2.320022022329135,3.1587387217909906,3.449557489370588,0.6981710510458268,0.7304656375221026,0.412442424105482,68.31683168316832,9,0.0,27.722772277227726
9,dance-single,4.123958078750061,4.519230961310435,2.0146965755495954,1.4864076264379797,1.6628192574204832,2.162766458045472,,,,,0.844872766756571,0.9095555094503619,0.3708219041469964,47.21189591078067,9,0.0,66.17100371747212
3,dance-single,1.8558878793024054,4.666133573946208,4.705805821883951,6.096463133563701,6.71106231883217,5.075938959299833,,,,,2.605244725871846,2.8539474779604124,1.396606833766713,0.0,0,0.0,38.94736842105263
13,dance-single,5.894472346491992,4.735636887239769,1.1993179963472043,1.0098903854507397,1.0566077658457287,1.2128904786866836,,,,,0.5612285559982182,0.5647197498743692,0.2805252987920553,83.57588357588358,27,0.0,57.380457380457386
7,dance-single,3.1710013195245597,4.5913247791660385,2.259152723072603,2.7414122062685573,3.6784190593448534,2.161543611650274,,,,,1.1614383327631739,1.291271889741915,0.5478692814118739,3.35195530726257,3,0.0,60.33519553072626
10,dance-single,3.9944607681308857,4.715046490107938,1.850996161503281,2.1522213789468956,1.9493366894309292,1.7155509104637472,,,,,0.9826083686860307,0.8828515041516353,0.4832970909150945,41.39344262295082,5,0.0,50.0
9,dance-double,3.149999793870313,4.665324108807838,7.82897069755238,9.43572852575304,4.578739175664685,3.8443505546756174,3.9271828183427298,3.5658452014805433,6.454681931633948,15.815914435280096,1.1952779311843382,1.1749062833166375,0.7436597115638888,12.804878048780488,9,0.0,30.48780487804878
15,dance-single,7.92881741860056,4.631870537818048,0.9130964875398604,0.9298395704427712,1.0200906745055818,0.9681301099657259,,,,,0.46375669072033554,0.48784830819467495,0.21583561270738974,96.34615384615385,84,0.0,63.84615384615384
2,dance-single,1.1338184682116546,4.749954278836284,18.982545699440045,17.022820339454704,13.909767227374415,16.44680285350107,,,,,8.184152062995325,6.9956850543095666,3.274811397031179,0.0,0,0.0,39.02439024390244
3,dance-single,2.0743040199873013,4.626872967631325,3.6841993961915738,6.083187840966117,7.45530160528466,4.217241493803634,,,,,2.4033118534544977,2.47298646401798,1.2798847362160108,0.0,0,0.0,27.77777777777778
7,dance-double,2.84524827550871,4.512879443092643,15.119154394476213,8.089150283857357,5.676132874065423,3.2378283089700317,3.8365967552216063,4.332838658102734,16.27722687884635,11.812965894225634,1.3063333735021234,1.1695254409091942,0.669651419782411,16.666666666666664,2,0.0,27.564102564102566
7,dance-double,3.4128921710953164,4.59511985013459,6.198044855675614,5.325275284101836,4.47162928306128,2.712392264987923,2.7267149258500187,4.5449436960122265,6.0493895740679235,5.620989504675276,1.0297604140537004,1.2006570863912103,0.6600028569054437,15.88235294117647,3,0.0,28.823529411764703
14,dance-double,6.982187494335197,4.594240675895365,2.291495728088257,2.5172682871188554,1.8179122286362996,1.4452237595538402,1.2705353874252636,2.3000590941933745,2.401414584051536,1.7133507315067185,0.34544785179199194,0.33028854180584766,0.23324908660270044,98.70689655172413,167,0.0,17.24137931034483
7,dance-double,3.736909071291751,4.6119968313303685,3.8756591402348946,3.9361304340148338,3.932219829683942,2.045394093346769,2.1466952448945786,4.180659698813935,3.8913468080059386,4.247840255770268,0.6780708385027249,0.7121843246817402,0.439032899936873,20.62780269058296,3,0.0,22.421524663677133
4,dance-double,2.4372398677430636,4.559712463063308,5.6021022515807735,9.5375158334151,6.869643593225229,3.0942948954126805,3.0291385351450533,6.34507379683254,14.72307140495033,9.102085187092209,1.1737815817360269,1.1749470754323466,0.6875552297692763,0.0,0,0.0,30.4635761589404
6,dance-single,2.6814642942049365,4.636193934089754,3.996027936802199,1.5006001236073112,2.072521454520649,4.027017369756265,,,,,1.2270237421175707,1.9462953452898044,0.6864250257875035,0.0,0,0.0,63.81578947368421
7,dance-double,2.938221720719081,4.606309536681517,4.74884717782886,5.117876701685232,4.251507498984535,3.2922549444538776,2.523345053718274,4.22733532302935,6.296088194507174,6.058363759986459,0.9603073037280394,0.7525606746949117,0.5046200619036904,0.9708737864077669,2,0.0,24.271844660194176
5,dance-single,2.618661856052451,4.486386649998124,2.8423613390538924,4.1108410162949,4.395066099441091,2.8384136358154097,,,,,1.57687623219099,1.644768750020752,0.8126996144962508,0.0,0,0.0,64.12213740458014
9,dance-double,4.116025600075037,4.6576772434671065,4.353755434197141,4.145465339571892,4.1684018017482645,2.1839661671197,2.213977942355214,4.2160362983954816,3.903170949840169,6.178312998102895,0.6898709480311788,0.707203015792408,0.45904473665967926,11.428571428571429,5,0.0,21.428571428571427
